name,url,image_url,scientific_name,conservation_status,size,diet,range,habitat,physical_characteristics,fun_fact
African Butterflyfish,https://www.georgiaaquarium.org/animal/african-butterfly/,https://www.georgiaaquarium.org/wp-content/uploads/2019/07/african-butterflyfish-2-250x250.jpg,Pantodon buchholzi,Least Concern,2-4 inches (5-10 cm),"Terrestrial insects, aquatic larvae, crustaceans and fish",Africa,Upper surface of open water,"The body is compressed with a large, upward-facing mouth with a prominent lower jaw and numerous teeth. Large, flat eyes sit high on the head.Eye placement allows the African butterfly to see both above and below the water’s surface at the same time. Eye placement allows the African butterfly to see both above and below the water’s surface at the same time. Enlarged pectoral fins that extend outward. Ventral fins are thread-like and project down below the body while the caudal and anal fins are large and broad. Coloration consists of brown, gray or olive, all with a silver sheen.Often have dark markings on their fins and underside.Average size is 2-4 inches (5-10 cm). Maximum recorded length of 5.9 inches (15 cm). Often have dark markings on their fins and underside. Average size is 2-4 inches (5-10 cm). Maximum recorded length of 5.9 inches (15 cm).",The African butterflyfish is a powerful jumper and is known to jump out of the water to catch insects or to escape predators.
African Pancake Tortoise,https://www.georgiaaquarium.org/animal/african-pancake-tortoise/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/african-pancake-tortoise-2-250x238.jpg,Malacochersus tornieri,Vulnerable,7 inches (17.8 cm),Vegetation and dry grasses,Tanzania and Kenya,Crevices on rocky hillsides,"Coloration is brown and yellow. Shell is thin, flat and flexible. Shell bones have many openings, which allow the tortoise to be lighter and more agile to escape predators. Instead of retreating into its shell, the African pancake tortoise will flee danger. Its flexible shell allows it to hide in narrow crevices. Carapace length to 7 inches (17.8 cm).",The African tortoise’s shell hinges at the joints that make up the bony plates of its shell. This allows these tortoises to climb better than others.
African Penguin,https://www.georgiaaquarium.org/animal/african-penguin/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/african-penguin-2-250x250.jpg,Spheniscus demersus,Critically Endangered,18-25 inches (46-64 cm) tall,"Fishes, crustaceans, squid",Southernmost coast of Africa,Temperate climates near water,"The adult African penguin stands 18 to 25 inches (46-64 cm) tall and weighs 6 to 7 lbs. (2.7 – 3.2 kg). Black back and a white breast. The chest and belly may also have black markings. The white color extends in a semicircular pattern behind and over the head. A horseshoe-shaped black stripe extends across the chest and flanks. Bare flesh-pink skin surrounds the eyes. Juvenile feathers are shades of grey with a lighter belly and chest. They maintain their juvenile feathers for one year post-fledging when they molt to their adult plumage. Both sexes look the same, which means they are not sexually dimorphic. Penguin feathers are stiff and overlap in layers to trap air next to the skin for insulation. The feathers are very resistant to wind and water. The birds waterproof themselves by using their beak to spread oil from a gland at the base of the tail. African penguins are often seen preening each other (allopreening). Allopreening helps birds preen clean and arrange feathers in areas they cannot reach, such as their neck. Allopreening plays a role in strengthening bonds between mates. Before their yearly molt, penguins feed avidly, putting on extra weight in the form of fat. Molting generally takes place during the summer months. It can also be common to see some birds molt outside of these seasons. The molting process is stressful because these birds lose their thermal protection and are unable to hunt for food or swim. Molting takes approximately two weeks. They fast during this time, lose weight, and become listless. It takes another four to ten days for new feathers to grow in and become waterproof. Only then can the penguin return to the sea to feed. The bones of penguins are solid, unlike the hollow bones of flying birds, to increase body weight and provide ballast when diving. The solid bones of the penguin make the bird too heavy to fly. The wings of this flightless bird are modified flippers for swimming. The wing bones are flattened and broadened to take the thrust of water. The surface of the wings is covered with scale-like feathers.","African penguins molt once a year. During this time, they lose all of their feathers and grow a new set."
African Tigerfish,https://www.georgiaaquarium.org/animal/african-tigerfish/,https://www.georgiaaquarium.org/wp-content/uploads/2024/05/african-tigerfish2-250x250.jpg,Hydrocynus vittatus,Least Concern,3.5 feet (1.1 m),Fishes and occasionally small birds,Sub-Saharan Africa,Large rivers and lakes,"Coloration is silver overall with dark lines running through. Tail is red-tipped at the bottom edge with a black marking at the tip of the adipose dorsal fin and split of caudal fin. Mouth has eight razor-sharp teeth per jaw used for tearing through prey. Teeth can be seen even when jaws are closed. Common length of 3.5 feet (1.1 m), with a maximum weight of 62 lbs. (28 kg).","African tigerfish have eight large, razor-sharp teeth per jaw that are visible even when the jaws are closed."
American Alligator,https://www.georgiaaquarium.org/animal/american-alligator/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/american-alligator-4-250x250.jpg,Alligator mississippiensis,Least Concern,10-15 feet (3-4.5 m) in length,Nearly any aquatic or terrestrial prey that comes within range,Southeastern United States,"Freshwater swamps and marshes, as well as in rivers and lakes","Adult male American alligators typically reach 13-15 feet (4.0-4.5 m) in length. Females reach lengths of about 10 feet (3 m). The tail is about one-half the body length. Characteristically broad snout. The upper jaw is wider than the lower jaw and completely overlaps it so that the edge of the upper jaw overlaps teeth in the lower jaw. Bottom teeth are almost completely hidden when the mouth is closed. This is in contrast to crocodiles, in which the lower teeth are visible outside of the upper jaw. Juveniles are darker in color with bright yellow cross-bands. Aging brings the gradual loss of the banding and the alligator will turn olive brown and black, with some areas around the jaws and neck a creamy white. The ventral surface of the body is pale. Adults usually have 74-80 teeth. New teeth grow to replace lost or damaged ones. Small, sensory pits dotted around the upper and lower jaws can detect small pressure changes in water and assist in locating and capturing prey.","The sex of alligator hatchlings is determined by the temperature of the nest during incubation. Warmer temperatures produce males, while cooler temperatures produce females."
Arc-Eye Hawkfish,https://www.georgiaaquarium.org/animal/arc-eye-hawkfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/arc-eye-hawkfish-3-250x250.jpg,Paracirrhites arcatus,Least Concern,6-8 inches (15-20 cm),"Shrimp, small fishes, and crustaceans",Indo-Pacific,Lagoons and seaward reefs,"A small, grouper-like fish with a maximum length of about 8 inches (20 cm). Displays a range of colors from olive to red, brown and even yellow; generally darker dorsally. Has a distinctive dark ring extending around and behind the eyes.",The arc-eye hawkfish is named for the distinctive dark ring around the eye.
Asian Small-clawed Otter,https://www.georgiaaquarium.org/animal/asian-small-clawed-otter/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/asian-small-clawed-otter-4-250x250.jpg,Aonyx cinerea,Vulnerable,4 to 11 lbs (2-5 kg),"Mollusks, fish, frogs, and crustaceans",Southeast Asia and southern India,Freshwater wetlands and mangrove swamps,"The world’s smallest otter. It ranges in size from 4 to 11 lbs (2 – 5 kg), with a head and body length of 16 to 24 inches (41 – 61 cm) and a tail length of 10 to 12 inches (25 – 30 cm). Predominantly dark brown in color with a lighter patch on its throat. Fur is relatively short. Whiskers help it to detect changes in water current and pressure. The body is also adapted for diving, in that its heart rate and oxygen consumption are reduced while submerged. The otter can also seal its nose and ear canals while underwater. The body of the small-clawed otter is elongated so that it can easily move through the water. Feet are only webbed to the last joint and are tipped with short, blunt claws. This structure aids in swimming, and still allows considerable dexterity. The tail is very thick and muscular at the base and is gradually tapered to a thin tip. Lateral motions of the tail help to propel the otter while diving. The eyes adjust easily as the otter goes from land to water. In bright light, vision was found to be equal in air and water.",The Asian small-clawed otter can adapt and change its heart rate for diving.
Baja Blue Rock Lizard,https://www.georgiaaquarium.org/animal/baja-blue-rock-lizard/,https://www.georgiaaquarium.org/wp-content/uploads/2021/05/baja-blue-rock-lizard-2-250x250.jpg,Petrosaurus thalassinus,Least Concern,7-10 inches (18-25 cm),"Leaves, fruit, flowers and insects",Mexico,"Found in rocky, lightly vegetated areas","Common length of 7-10 inches (18-25 cm). A grayish-blue lizard with a speckled banding pattern across its back. Darker bars often mark the lizard from the neck to the upper back. The face and tail are often a brighter blue than the rest of the body, and the head and neck can sport yellow, orange and red highlights.",Occurs only on the tip of the Baja California Peninsula in northern Mexico.
Banded Archerfish,https://www.georgiaaquarium.org/animal/banded-archerfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/banded-archerfish-4-250x250.jpg,Toxotes jaculatrix,Least Concern,8 to 12 inches (20-30cm),Insects and plant material,Indonesia and Australia,Brackish mangrove estuaries,"Small, deep-bodied fish with an upturned mouth. The lower jaw extends beyond the upper. Coloration is silver-grey dorsally fading lighter on the underside. There are several dark bands along their sides. Common length of about 8 inches (20 cm), but occasionally individuals as long as 12 inches (30 cm) have been reported.",Banded archerfish have very accurate aim and have a shooting range of up to 60 inches!
Banggai Cardinalfish,https://www.georgiaaquarium.org/animal/banggai-cardinalfish/,https://www.georgiaaquarium.org/wp-content/uploads/2019/11/banggai-cardinalfish-4-250x250.jpg,Pterapogon kauderni,Endangered,Up to 3 inches (8 cm),"Copepods, marine worms, mollusks and fish larvae",Banggai Islands of eastern Indonesia,Shallow coral reefs and bays,"Coloration is silver with three vertical black bands across the body. White dots are present between bands and on all fins except the front dorsal fin. These dots are unique to each individual fish. The first dorsal fin is shorter and tasseled while the second dorsal, anal and caudal fins are all elongated. Maximum length of 3 inches (8 cm).",The Banggai cardinalfish is endangered in wild populations but thrives in aquarium environments.
Bat Star,https://www.georgiaaquarium.org/animal/bat-star/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/bat-star-2-250x250.jpg,Asterina miniata,Not Evaluated,4-8 inches (10-20 cm),"Other sea stars, tunicate worms and algae",Along the U.S. Pacific coast,Intertidal zones,"Most commonly reddish-orange or mottled white, but can be found in a variety of patterns and colors including brown, green, purple or pink. Usually has five, short, triangular arms, but can have from four to nine. The arms appear to have webbing between them and resemble a bat’s wing, hence the species’ common name. It is also called the “webbed star.” This sea star typically has a radius of about 4 inches (10 cm) but can reach 6 to 8 inches (15-20 cm).",
